model,arm,task,press,kept,lang,n_answered,n_exact_copy,n_near_copy,n_novel,n_distractor_exact,exact_rate,near_rate,near_ci_low,near_ci_high,novel_rate,novel_ci_low,novel_ci_high,n_target_near_truncation,n_target_near_prefix,n_any_exact,n_any_near,n_any_novel,any_novel_rate,any_novel_ci_low,any_novel_ci_high
llama31-8b,qa,niah_none,streaming_llm,0.25,ja,12.0,12.0,0.0,0.0,12.0,1.0,0.0,0.0,0.2425,0.0,0.0,0.2425,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.2425
llama31-8b,qa,niah_none,streaming_llm,0.25,ko,59.0,59.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0611,0.0,0.0,0.0611,0.0,0.0,59.0,5.0,0.0,0.0,0.0,0.0611
llama31-8b,qa,niah_none,streaming_llm,0.25,pl,24.0,23.0,0.0,1.0,23.0,0.9583,0.0,0.0,0.138,0.0417,0.0074,0.2024,0.0,0.0,23.0,16.0,1.0,0.0417,0.0074,0.2024
llama31-8b,qa,niah_none,streaming_llm,0.25,sw,59.0,59.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0611,0.0,0.0,0.0611,0.0,0.0,59.0,5.0,0.0,0.0,0.0,0.0611
llama31-8b,qa,niah_none,streaming_llm,0.25,vi,23.0,23.0,0.0,0.0,23.0,1.0,0.0,0.0,0.1431,0.0,0.0,0.1431,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.1431
llama31-8b,qa,niah_none,streaming_llm,0.25,zh,33.0,33.0,0.0,0.0,33.0,1.0,0.0,0.0,0.1043,0.0,0.0,0.1043,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.1043
llama31-8b,qa,niah_none,streaming_llm,0.5,en,35.0,28.0,0.0,7.0,28.0,0.8,0.0,0.0,0.0989,0.2,0.1004,0.3589,0.0,0.0,28.0,3.0,7.0,0.2,0.1004,0.3589
llama31-8b,qa,niah_none,streaming_llm,0.5,ja,32.0,32.0,0.0,0.0,32.0,1.0,0.0,0.0,0.1072,0.0,0.0,0.1072,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.1072
llama31-8b,qa,niah_none,streaming_llm,0.5,ko,84.0,84.0,0.0,0.0,84.0,1.0,0.0,0.0,0.0437,0.0,0.0,0.0437,0.0,0.0,84.0,2.0,1.0,0.0119,0.0021,0.0644
llama31-8b,qa,niah_none,streaming_llm,0.5,pl,25.0,23.0,0.0,2.0,23.0,0.92,0.0,0.0,0.1332,0.08,0.0222,0.2497,0.0,0.0,23.0,10.0,2.0,0.08,0.0222,0.2497
llama31-8b,qa,niah_none,streaming_llm,0.5,sw,93.0,93.0,0.0,0.0,93.0,1.0,0.0,0.0,0.0397,0.0,0.0,0.0397,0.0,0.0,93.0,10.0,1.0,0.0108,0.0019,0.0584
llama31-8b,qa,niah_none,streaming_llm,0.5,vi,25.0,24.0,0.0,1.0,24.0,0.96,0.0,0.0,0.1332,0.04,0.0071,0.1954,0.0,0.0,24.0,0.0,1.0,0.04,0.0071,0.1954
llama31-8b,qa,niah_none,streaming_llm,0.5,zh,71.0,71.0,0.0,0.0,71.0,1.0,0.0,0.0,0.0513,0.0,0.0,0.0513,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0513
llama31-8b,qa,niah_single,knorm,0.25,en,75.0,18.0,56.0,1.0,0.0,0.24,0.7467,0.6379,0.8314,0.0133,0.0024,0.0717,56.0,56.0,18.0,57.0,3.0,0.04,0.0137,0.1111
llama31-8b,qa,niah_single,knorm,0.25,ja,70.0,17.0,53.0,0.0,0.0,0.2429,0.7571,0.645,0.8425,0.0,0.0,0.052,48.0,48.0,17.0,53.0,0.0,0.0,0.0,0.052
llama31-8b,qa,niah_single,knorm,0.25,ko,85.0,82.0,3.0,0.0,0.0,0.9647,0.0353,0.0121,0.0987,0.0,0.0,0.0432,3.0,3.0,82.0,3.0,0.0,0.0,0.0,0.0432
llama31-8b,qa,niah_single,knorm,0.25,pl,58.0,5.0,52.0,1.0,0.0,0.0862,0.8966,0.7921,0.9517,0.0172,0.003,0.0914,52.0,52.0,5.0,53.0,1.0,0.0172,0.003,0.0914
llama31-8b,qa,niah_single,knorm,0.25,sw,36.0,6.0,27.0,3.0,0.0,0.1667,0.75,0.5893,0.8625,0.0833,0.0287,0.2183,25.0,25.0,6.0,27.0,4.0,0.1111,0.0441,0.2532
llama31-8b,qa,niah_single,knorm,0.25,vi,72.0,17.0,53.0,2.0,0.0,0.2361,0.7361,0.6242,0.8241,0.0278,0.0077,0.0957,53.0,53.0,17.0,53.0,2.0,0.0278,0.0077,0.0957
llama31-8b,qa,niah_single,knorm,0.25,zh,36.0,5.0,28.0,3.0,0.0,0.1389,0.7778,0.6191,0.8828,0.0833,0.0287,0.2183,26.0,26.0,5.0,28.0,3.0,0.0833,0.0287,0.2183
llama31-8b,qa,niah_single,knorm,0.5,en,99.0,72.0,27.0,0.0,0.0,0.7273,0.2727,0.1947,0.3677,0.0,0.0,0.0374,27.0,27.0,72.0,27.0,0.0,0.0,0.0,0.0374
llama31-8b,qa,niah_single,knorm,0.5,ja,91.0,50.0,41.0,0.0,0.0,0.5495,0.4505,0.3524,0.5527,0.0,0.0,0.0405,41.0,41.0,50.0,42.0,0.0,0.0,0.0,0.0405
llama31-8b,qa,niah_single,knorm,0.5,ko,88.0,88.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0418,0.0,0.0,0.0418,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0418
llama31-8b,qa,niah_single,knorm,0.5,pl,78.0,30.0,48.0,0.0,0.0,0.3846,0.6154,0.5044,0.7155,0.0,0.0,0.0469,48.0,48.0,30.0,48.0,0.0,0.0,0.0,0.0469
llama31-8b,qa,niah_single,knorm,0.5,sw,91.0,69.0,21.0,1.0,0.0,0.7582,0.2308,0.1562,0.3272,0.011,0.0019,0.0597,20.0,20.0,69.0,22.0,2.0,0.022,0.006,0.0766
llama31-8b,qa,niah_single,knorm,0.5,vi,98.0,79.0,19.0,0.0,0.0,0.8061,0.1939,0.1278,0.2831,0.0,0.0,0.0377,19.0,19.0,79.0,19.0,0.0,0.0,0.0,0.0377
llama31-8b,qa,niah_single,knorm,0.5,zh,91.0,36.0,53.0,2.0,0.0,0.3956,0.5824,0.4798,0.6784,0.022,0.006,0.0766,53.0,53.0,36.0,53.0,2.0,0.022,0.006,0.0766
llama31-8b,qa,niah_single,none,1.0,en,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
llama31-8b,qa,niah_single,none,1.0,ja,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
llama31-8b,qa,niah_single,none,1.0,ko,85.0,85.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0432,0.0,0.0,0.0432,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0432
llama31-8b,qa,niah_single,none,1.0,pl,84.0,84.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0437,0.0,0.0,0.0437,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0437
llama31-8b,qa,niah_single,none,1.0,sw,97.0,97.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0381,0.0,0.0,0.0381,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0381
llama31-8b,qa,niah_single,none,1.0,vi,90.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0409,0.0,0.0,0.0409,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0409
