model,arm,task,lang,press,kept,drop,d_false_absence,d_wrong_number,d_other,share_false_absence,share_wrong_number,share_other,d_false_presence_distractor,d_false_presence_hallucinated,share_false_presence_distractor,share_false_presence_hallucinated
llama31-8b,qa,niah_single,ko,streaming_llm,0.5,0.39,0.27,0.12000000000000001,0.0,0.6923076923076923,0.3076923076923077,0.0,,,,
llama31-8b,qa,niah_single,pl,streaming_llm,0.5,0.35,-0.16,0.49,0.02,-0.4571428571428572,1.4000000000000001,0.05714285714285715,,,,
llama31-8b,qa,niah_single,sw,streaming_llm,0.5,0.49000000000000005,0.019999999999999997,0.37,0.1,0.040816326530612235,0.7551020408163265,0.20408163265306123,,,,
llama31-8b,qa,niah_single,vi,streaming_llm,0.5,0.5,0.4,0.1,0.0,0.8,0.2,0.0,,,,
llama31-8b,qa,niah_single,zh,streaming_llm,0.5,0.55,0.44999999999999996,0.1,0.0,0.818181818181818,0.18181818181818182,0.0,,,,
qwen25-7b-1m,joint,niah_single,en,knorm,0.25,0.97,0.009999999999999998,0.96,0.0,0.010309278350515462,0.9896907216494846,0.0,,,,
qwen25-7b-1m,joint,niah_single,ja,knorm,0.25,0.89,0.15,0.64,0.1,0.16853932584269662,0.7191011235955056,0.11235955056179776,,,,
qwen25-7b-1m,joint,niah_single,ko,knorm,0.25,0.95,0.03,0.92,0.0,0.031578947368421054,0.9684210526315791,0.0,,,,
qwen25-7b-1m,joint,niah_single,pl,knorm,0.25,0.99,0.2,0.73,0.06,0.20202020202020204,0.7373737373737373,0.06060606060606061,,,,
qwen25-7b-1m,joint,niah_single,sw,knorm,0.25,0.55,-0.38,0.54,0.39,-0.6909090909090908,0.9818181818181818,0.7090909090909091,,,,
qwen25-7b-1m,joint,niah_single,vi,knorm,0.25,0.96,-0.010000000000000002,0.97,0.0,-0.01041666666666667,1.0104166666666667,0.0,,,,
qwen25-7b-1m,joint,niah_single,zh,knorm,0.25,0.98,0.23,0.67,0.08,0.23469387755102042,0.6836734693877552,0.0816326530612245,,,,
qwen25-7b-1m,joint,niah_single,en,knorm,0.5,0.89,0.0,0.89,0.0,0.0,1.0,0.0,,,,
qwen25-7b-1m,joint,niah_single,ja,knorm,0.5,0.8200000000000001,-0.08,0.9,0.0,-0.09756097560975609,1.097560975609756,0.0,,,,
qwen25-7b-1m,joint,niah_single,ko,knorm,0.5,0.37,0.0,0.37,0.0,0.0,1.0,0.0,,,,
qwen25-7b-1m,joint,niah_single,pl,knorm,0.5,0.9299999999999999,0.05,0.88,0.0,0.05376344086021506,0.946236559139785,0.0,,,,
qwen25-7b-1m,joint,niah_single,sw,knorm,0.5,0.48000000000000004,-0.39,0.76,0.11,-0.8125,1.5833333333333333,0.22916666666666666,,,,
qwen25-7b-1m,joint,niah_single,vi,knorm,0.5,0.85,-0.03,0.88,0.0,-0.03529411764705882,1.035294117647059,0.0,,,,
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,0.89,0.030000000000000002,0.83,0.03,0.033707865168539325,0.9325842696629213,0.033707865168539325,,,,
qwen25-7b-1m,joint,niah_single,en,snapkv,0.25,-0.0,0.0,0.0,0.0,,,,,,,
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.25,-0.020000000000000018,-0.03,0.01,0.0,,,,,,,
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.25,-0.0,0.0,0.0,0.0,,,,,,,
qwen25-7b-1m,joint,niah_single,pl,snapkv,0.25,-0.0,0.0,0.0,0.0,,,,,,,
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.25,0.08000000000000007,0.02999999999999997,0.05,0.0,0.37499999999999933,0.6249999999999994,0.0,,,,
qwen25-7b-1m,joint,niah_single,vi,snapkv,0.25,-0.0,0.0,0.0,0.0,,,,,,,
qwen25-7b-1m,joint,niah_single,zh,snapkv,0.25,-0.0,0.0,0.0,0.0,,,,,,,
qwen25-7b-1m,joint,niah_single,en,snapkv,0.5,-0.0,0.0,0.0,0.0,,,,,,,
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.5,-0.04999999999999993,-0.05,0.0,0.0,,,,,,,
