model,arm,task,lang,press,kept,acc,acc_robust,n,delta_robust
qwen25-7b-1m,joint,niah_single,vi,snapkv,0.5,0.96,0.96,100,0.0
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.25,0.28,0.28,100,0.0
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.5,0.49,0.49,100,0.0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.25,0.0,0.0,100,0.0
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,0.09,0.09,100,0.0
qwen25-7b-1m,joint,niah_single,zh,none,1.0,0.98,0.98,100,0.0
qwen25-7b-1m,joint,niah_single,zh,snapkv,0.25,0.98,0.98,100,0.0
qwen25-7b-1m,joint,niah_single,zh,snapkv,0.5,0.98,0.98,100,0.0
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.25,0.25,0.25,100,0.0
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.5,0.42,0.42,100,0.0
qwen25-7b-1m,qa,niah_none,en,knorm,0.25,0.98,0.98,100,0.0
qwen25-7b-1m,qa,niah_none,en,knorm,0.5,0.99,0.99,100,0.0
qwen25-7b-1m,qa,niah_none,en,none,1.0,0.96,0.96,100,0.0
qwen25-7b-1m,qa,niah_none,en,snapkv,0.25,0.97,0.97,100,0.0
qwen25-7b-1m,qa,niah_none,en,snapkv,0.5,0.96,0.96,100,0.0
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.25,0.95,0.94,100,0.01
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.5,0.97,0.97,100,0.0
qwen25-7b-1m,qa,niah_none,ja,knorm,0.25,0.93,0.93,100,0.0
qwen25-7b-1m,qa,niah_none,ja,knorm,0.5,0.93,0.92,100,0.01
qwen25-7b-1m,qa,niah_none,ja,none,1.0,0.75,0.71,100,0.04
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.25,0.92,0.92,100,0.0
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.5,0.86,0.86,100,0.0
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.25,0.78,0.78,100,0.0
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.5,0.57,0.54,100,0.03
qwen25-7b-1m,qa,niah_none,ko,knorm,0.25,0.76,0.76,100,0.0
qwen25-7b-1m,qa,niah_none,ko,knorm,0.5,0.55,0.53,100,0.02
qwen25-7b-1m,qa,niah_none,ko,none,1.0,0.37,0.36,100,0.01
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.25,0.62,0.61,100,0.01
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.5,0.55,0.55,100,0.0
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.25,0.57,0.55,100,0.02
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.5,0.41,0.4,100,0.01
qwen25-7b-1m,qa,niah_none,pl,knorm,0.25,1.0,1.0,100,0.0
qwen25-7b-1m,qa,niah_none,pl,knorm,0.5,1.0,1.0,100,0.0
qwen25-7b-1m,qa,niah_none,pl,none,1.0,1.0,1.0,100,0.0
qwen25-7b-1m,qa,niah_none,pl,snapkv,0.25,1.0,1.0,100,0.0
qwen25-7b-1m,qa,niah_none,pl,snapkv,0.5,1.0,1.0,100,0.0
qwen25-7b-1m,qa,niah_none,pl,streaming_llm,0.25,1.0,1.0,100,0.0
qwen25-7b-1m,qa,niah_none,pl,streaming_llm,0.5,1.0,1.0,100,0.0
