[18:34:32] ===== stage=aggregate ts=20260729_183432 ctx=32768 attn=sdpa seed_default=42 =====
[18:34:35] env: datasets==5.0.0 | kvpress==0.5.4 | torch==2.13.0 | transformers==5.2.0 -> /vol/logs/env_aggregate_20260729_183432.txt
[18:34:37] excluding 42 toy selftest rows from aggregation
[18:34:38] per-cell table (95% bootstrap CIs):
       model   arm lang  ctx_len         press  kept        task  seed   toy  acc  ci_low  ci_high   n  mean_wall_s
qwen25-7b-1m joint   pl    32768        snapkv  0.25 niah_single    42 False 1.00    1.00     1.00 100         4.70
qwen25-7b-1m joint   sw    32768        snapkv  0.25 niah_single    42 False 0.48    0.38     0.57 100         5.62
qwen25-7b-1m joint   vi    32768        snapkv  0.25 niah_single    42 False 0.96    0.92     0.99 100         5.12
qwen25-7b-1m joint   zh    32768        snapkv  0.25 niah_single    42 False 0.98    0.95     1.00 100         3.65
qwen25-7b-1m joint   en    32768        snapkv  0.50 niah_single    42 False 0.98    0.95     1.00 100         4.69
qwen25-7b-1m joint   ja    32768        snapkv  0.50 niah_single    42 False 0.95    0.91     0.99 100         4.05
qwen25-7b-1m joint   ko    32768        snapkv  0.50 niah_single    42 False 0.99    0.97     1.00 100         5.55
qwen25-7b-1m joint   pl    32768        snapkv  0.50 niah_single    42 False 1.00    1.00     1.00 100         4.75
qwen25-7b-1m joint   sw    32768        snapkv  0.50 niah_single    42 False 0.59    0.50     0.68 100         5.73
qwen25-7b-1m joint   vi    32768        snapkv  0.50 niah_single    42 False 0.96    0.92     0.99 100         5.15
qwen25-7b-1m joint   zh    32768        snapkv  0.50 niah_single    42 False 0.98    0.95     1.00 100         3.66
qwen25-7b-1m joint   en    32768 streaming_llm  0.25 niah_single    42 False 0.27    0.19     0.36 100         4.52
qwen25-7b-1m joint   ja    32768 streaming_llm  0.25 niah_single    42 False 0.28    0.19     0.37 100         4.40
qwen25-7b-1m joint   ko    32768 streaming_llm  0.25 niah_single    42 False 0.28    0.19     0.37 100         5.57
qwen25-7b-1m joint   pl    32768 streaming_llm  0.25 niah_single    42 False 0.28    0.20     0.37 100         4.74
qwen25-7b-1m joint   sw    32768 streaming_llm  0.25 niah_single    42 False 0.14    0.07     0.21 100         5.80
qwen25-7b-1m joint   vi    32768 streaming_llm  0.25 niah_single    42 False 0.28    0.20     0.36 100         4.81
qwen25-7b-1m joint   zh    32768 streaming_llm  0.25 niah_single    42 False 0.25    0.17     0.33 100         3.53
qwen25-7b-1m joint   en    32768 streaming_llm  0.50 niah_single    42 False 0.45    0.36     0.56 100         4.55
