model,arm,task,lang,press,kept,n,acc,ci_low,ci_high
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.25,100,0.98,0.95,1.0
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.5,100,0.97,0.93,1.0
qwen25-7b-1m,qa,niah_single,en,knorm,0.25,100,0.02,0.0,0.05
qwen25-7b-1m,qa,niah_single,en,knorm,0.5,100,0.04,0.01,0.08
qwen25-7b-1m,qa,niah_single,en,none,1.0,100,0.98,0.95,1.0
qwen25-7b-1m,qa,niah_single,en,snapkv,0.25,100,0.07,0.03,0.12
qwen25-7b-1m,qa,niah_single,en,snapkv,0.5,100,0.37,0.27,0.47
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.25,100,0.27,0.19,0.36
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.5,100,0.45,0.35,0.55
qwen25-7b-1m,qa,niah_single,ja,knorm,0.25,100,0.03,0.0,0.07
qwen25-7b-1m,qa,niah_single,ja,knorm,0.5,100,0.07,0.03,0.12
qwen25-7b-1m,qa,niah_single,ja,none,1.0,100,0.96,0.92,0.99
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.25,100,0.06,0.02,0.11
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.5,100,0.16,0.09,0.24
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.25,100,0.28,0.2,0.37
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.5,100,0.46,0.36,0.56
qwen25-7b-1m,qa,niah_single,ko,knorm,0.25,100,0.04,0.01,0.08
qwen25-7b-1m,qa,niah_single,ko,knorm,0.5,100,0.64,0.5498,0.73
qwen25-7b-1m,qa,niah_single,ko,none,1.0,100,1.0,1.0,1.0
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.25,100,0.73,0.64,0.81
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.5,100,0.94,0.89,0.98
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.25,100,0.27,0.19,0.36
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.5,100,0.48,0.38,0.58
qwen25-7b-1m,qa,niah_single,pl,knorm,0.25,100,0.01,0.0,0.03
qwen25-7b-1m,qa,niah_single,pl,knorm,0.5,100,0.19,0.1198,0.27
qwen25-7b-1m,qa,niah_single,pl,none,1.0,100,0.99,0.97,1.0
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.25,100,0.04,0.01,0.09
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.5,100,0.44,0.3498,0.54
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.25,100,0.28,0.2,0.37
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.5,100,0.49,0.39,0.59
qwen25-7b-1m,qa,niah_single,sw,knorm,0.25,100,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_single,sw,knorm,0.5,100,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_single,sw,none,1.0,100,0.48,0.38,0.57
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.25,100,0.08,0.03,0.14
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.5,100,0.23,0.15,0.32
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.25,100,0.07,0.02,0.12
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.5,100,0.11,0.05,0.17
qwen25-7b-1m,qa,niah_single,vi,knorm,0.25,100,0.02,0.0,0.05
qwen25-7b-1m,qa,niah_single,vi,knorm,0.5,100,0.11,0.05,0.18
qwen25-7b-1m,qa,niah_single,vi,none,1.0,100,0.96,0.92,0.99
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.25,100,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.5,100,0.06,0.02,0.11
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.25,100,0.29,0.21,0.38
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.5,100,0.5,0.4,0.6
qwen25-7b-1m,qa,niah_single,zh,knorm,0.25,100,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_single,zh,knorm,0.5,100,0.06,0.02,0.11
qwen25-7b-1m,qa,niah_single,zh,none,1.0,100,0.98,0.95,1.0
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.25,100,0.11,0.05,0.17
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.5,100,0.36,0.27,0.45
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.25,100,0.27,0.19,0.36
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.5,100,0.43,0.33,0.53
