model,arm,task,lang,press,kept,mode,n,rate
llama31-8b,qa,niah_single,en,streaming_llm,0.5,wrong_number,18,0.18
llama31-8b,qa,niah_single,ja,knorm,0.25,correct,17,0.17
llama31-8b,qa,niah_single,ja,knorm,0.25,false_absence,14,0.14
llama31-8b,qa,niah_single,ja,knorm,0.25,other,3,0.03
llama31-8b,qa,niah_single,ja,knorm,0.25,wrong_number,66,0.66
llama31-8b,qa,niah_single,ja,knorm,0.5,correct,49,0.49
llama31-8b,qa,niah_single,ja,knorm,0.5,false_absence,8,0.08
llama31-8b,qa,niah_single,ja,knorm,0.5,wrong_number,43,0.43
llama31-8b,qa,niah_single,ja,none,1.0,correct,98,0.98
llama31-8b,qa,niah_single,ja,none,1.0,false_absence,2,0.02
llama31-8b,qa,niah_single,ja,snapkv,0.25,correct,21,0.21
llama31-8b,qa,niah_single,ja,snapkv,0.25,false_absence,24,0.24
llama31-8b,qa,niah_single,ja,snapkv,0.25,wrong_number,55,0.55
llama31-8b,qa,niah_single,ja,snapkv,0.5,correct,76,0.76
llama31-8b,qa,niah_single,ja,snapkv,0.5,false_absence,7,0.07
llama31-8b,qa,niah_single,ja,snapkv,0.5,wrong_number,17,0.17
llama31-8b,qa,niah_single,ja,streaming_llm,0.25,correct,25,0.25
llama31-8b,qa,niah_single,ja,streaming_llm,0.25,false_absence,73,0.73
llama31-8b,qa,niah_single,ja,streaming_llm,0.25,wrong_number,2,0.02
llama31-8b,qa,niah_single,ja,streaming_llm,0.5,correct,45,0.45
llama31-8b,qa,niah_single,ja,streaming_llm,0.5,false_absence,50,0.5
llama31-8b,qa,niah_single,ja,streaming_llm,0.5,wrong_number,5,0.05
llama31-8b,qa,niah_single,ko,knorm,0.25,correct,82,0.82
llama31-8b,qa,niah_single,ko,knorm,0.25,false_absence,15,0.15
llama31-8b,qa,niah_single,ko,knorm,0.25,wrong_number,3,0.03
llama31-8b,qa,niah_single,ko,knorm,0.5,correct,87,0.87
llama31-8b,qa,niah_single,ko,knorm,0.5,false_absence,12,0.12
llama31-8b,qa,niah_single,ko,knorm,0.5,wrong_number,1,0.01
llama31-8b,qa,niah_single,ko,none,1.0,correct,77,0.77
llama31-8b,qa,niah_single,ko,none,1.0,false_absence,21,0.21
llama31-8b,qa,niah_single,ko,none,1.0,wrong_number,2,0.02
llama31-8b,qa,niah_single,ko,snapkv,0.25,correct,62,0.62
llama31-8b,qa,niah_single,ko,snapkv,0.25,false_absence,31,0.31
llama31-8b,qa,niah_single,ko,snapkv,0.25,wrong_number,7,0.07
llama31-8b,qa,niah_single,ko,snapkv,0.5,correct,78,0.78
llama31-8b,qa,niah_single,ko,snapkv,0.5,false_absence,16,0.16
llama31-8b,qa,niah_single,ko,snapkv,0.5,wrong_number,6,0.06
