model,arm,task,press,kept,lang,bin,acc,n
llama31-8b,qa,niah_single,snapkv,0.25,ko,.25-.5,0.625,24
llama31-8b,qa,niah_single,snapkv,0.25,ko,.5-.75,0.7143,21
llama31-8b,qa,niah_single,snapkv,0.25,ko,.75-1,0.4286,28
llama31-8b,qa,niah_single,snapkv,0.25,pl,0-.25,0.0,32
llama31-8b,qa,niah_single,snapkv,0.25,pl,.25-.5,0.0,22
llama31-8b,qa,niah_single,snapkv,0.25,pl,.5-.75,0.0,18
llama31-8b,qa,niah_single,snapkv,0.25,pl,.75-1,0.0,28
llama31-8b,qa,niah_single,snapkv,0.25,sw,0-.25,0.8125,32
llama31-8b,qa,niah_single,snapkv,0.25,sw,.25-.5,0.9167,24
llama31-8b,qa,niah_single,snapkv,0.25,sw,.5-.75,1.0,16
llama31-8b,qa,niah_single,snapkv,0.25,sw,.75-1,0.9286,28
llama31-8b,qa,niah_single,snapkv,0.25,vi,0-.25,0.0,26
llama31-8b,qa,niah_single,snapkv,0.25,vi,.25-.5,0.0,22
llama31-8b,qa,niah_single,snapkv,0.25,vi,.5-.75,0.0,21
llama31-8b,qa,niah_single,snapkv,0.25,vi,.75-1,0.0968,31
llama31-8b,qa,niah_single,snapkv,0.25,zh,0-.25,0.0,32
llama31-8b,qa,niah_single,snapkv,0.25,zh,.25-.5,0.0417,24
llama31-8b,qa,niah_single,snapkv,0.25,zh,.5-.75,0.0,16
llama31-8b,qa,niah_single,snapkv,0.25,zh,.75-1,0.8214,28
llama31-8b,qa,niah_single,snapkv,0.5,en,0-.25,0.7692,26
llama31-8b,qa,niah_single,snapkv,0.5,en,.25-.5,0.9286,28
llama31-8b,qa,niah_single,snapkv,0.5,en,.5-.75,0.8889,18
llama31-8b,qa,niah_single,snapkv,0.5,en,.75-1,1.0,28
llama31-8b,qa,niah_single,snapkv,0.5,ja,0-.25,0.8148,27
llama31-8b,qa,niah_single,snapkv,0.5,ja,.25-.5,0.6667,27
llama31-8b,qa,niah_single,snapkv,0.5,ja,.5-.75,0.7222,18
llama31-8b,qa,niah_single,snapkv,0.5,ja,.75-1,0.8214,28
llama31-8b,qa,niah_single,snapkv,0.5,ko,0-.25,0.7407,27
llama31-8b,qa,niah_single,snapkv,0.5,ko,.25-.5,0.8333,24
llama31-8b,qa,niah_single,snapkv,0.5,ko,.5-.75,0.9048,21
llama31-8b,qa,niah_single,snapkv,0.5,ko,.75-1,0.6786,28
llama31-8b,qa,niah_single,snapkv,0.5,pl,0-.25,0.4062,32
llama31-8b,qa,niah_single,snapkv,0.5,pl,.25-.5,0.5,22
llama31-8b,qa,niah_single,snapkv,0.5,pl,.5-.75,0.2778,18
llama31-8b,qa,niah_single,snapkv,0.5,pl,.75-1,0.0357,28
llama31-8b,qa,niah_single,snapkv,0.5,sw,0-.25,0.7812,32
llama31-8b,qa,niah_single,snapkv,0.5,sw,.25-.5,0.9167,24
llama31-8b,qa,niah_single,snapkv,0.5,sw,.5-.75,1.0,16
